exp	tok_per_sec	vram_peak_mb	n_ctx	type_k	type_v	flash_attn	n_gpu_layers	n_batch	n_ubatch	notes	status	description
1	11.180	7703	512	q8_0	q8_0	True	16	48	48		discard	n_gpu=16, batch=48/48, q8_0 KV, n_ctx=512
2	11.184	7703	512	q8_0	q8_0	True	16	56	56		discard	n_gpu=16, batch=56/56, q8_0 KV, n_ctx=512
3	10.533	7703	512	q8_0	q8_0	True	16	72	72		discard	n_gpu=16, batch=72/72, q8_0 KV, n_ctx=512
4	11.114	7703	512	q8_0	q8_0	True	16	80	80		discard	n_gpu=16, batch=80/80, q8_0 KV, n_ctx=512
5	11.757	7705	512	q8_0	q8_0	True	16	96	96		discard	n_gpu=16, batch=96/96, q8_0 KV, n_ctx=512
6	11.374	7571	512	q8_0	q8_0	True	16	64	16	asym_ubatch	discard	n_gpu=16, batch=64/16, q8_0 KV, n_ctx=512
7	10.698	7701	512	q8_0	q8_0	True	16	64	32	asym_ubatch	discard	n_gpu=16, batch=64/32, q8_0 KV, n_ctx=512
8	11.727	7703	512	q8_0	q8_0	True	16	64	48	asym_ubatch	discard	n_gpu=16, batch=64/48, q8_0 KV, n_ctx=512
9	11.874	7703	512	q8_0	q8_0	True	16	64	128	asym_ubatch	keep	n_gpu=16, batch=64/128, q8_0 KV, n_ctx=512 — NEW BEST
10	11.473	7703	512	q8_0	q8_0	True	16	64	256	asym_ubatch	discard	n_gpu=16, batch=64/256, q8_0 KV, n_ctx=512
11	10.315	7571	512	q8_0	q8_0	True	16	128	16	asym_ubatch	discard	n_gpu=16, batch=128/16, q8_0 KV, n_ctx=512
12	11.410	7701	512	q8_0	q8_0	True	16	128	32	asym_ubatch	discard	n_gpu=16, batch=128/32, q8_0 KV, n_ctx=512
13	10.458	7703	512	q8_0	q8_0	True	16	128	48	asym_ubatch	discard	n_gpu=16, batch=128/48, q8_0 KV, n_ctx=512
14	11.184	7708	512	q8_0	q8_0	True	16	128	64	asym_ubatch	discard	n_gpu=16, batch=128/64, q8_0 KV, n_ctx=512
15	11.584	7710	512	q8_0	q8_0	True	16	128	96	asym_ubatch	discard	n_gpu=16, batch=128/96, q8_0 KV, n_ctx=512
