exp_id	tok_s	vram_mb	n_ctx	kv_type_k	kv_type_v	flash_attn	n_gpu	n_batch	n_ubatch	n_threads	gen_tokens	label	status	notes
1	10.639	7700	512	q8_0	q8_0	True	16	256	64	12	256	reproduce_best_r1	ok	n_gpu=16, batch=256/64, q8_0 KV, n_ctx=512, flash=1 — wall=10.639tok/s, gen=256, t_eval=24060.0ms, threads=12
2	11.267	7700	512	q8_0	q8_0	True	16	256	64	12	256	reproduce_best_r2	ok	n_gpu=16, batch=256/64, q8_0 KV, n_ctx=512, flash=1 — wall=11.267tok/s, gen=256, t_eval=22720.0ms, threads=12
3	11.080	7700	512	q8_0	q8_0	True	16	256	64	12	256	reproduce_best_r3	ok	n_gpu=16, batch=256/64, q8_0 KV, n_ctx=512, flash=1 — wall=11.080tok/s, gen=256, t_eval=23100.0ms, threads=12
4	11.313	7700	512	q8_0	q8_0	True	16	256	64	12	512	gen512_b256_64_r1	ok	n_gpu=16, batch=256/64, q8_0 KV, n_ctx=512, flash=1 — wall=11.313tok/s, gen=512, t_eval=44020.0ms, threads=12
5	11.511	7700	512	q8_0	q8_0	True	16	256	64	12	512	gen512_b256_64_r2	ok	n_gpu=16, batch=256/64, q8_0 KV, n_ctx=512, flash=1 — wall=11.511tok/s, gen=512, t_eval=43260.0ms, threads=12
6	10.995	7700	512	q8_0	q8_0	True	16	256	64	12	1024	gen1024_b256_64_r1	ok	n_gpu=16, batch=256/64, q8_0 KV, n_ctx=512, flash=1 — wall=10.995tok/s, gen=1024, t_eval=45290.0ms, threads=12
7	11.615	7700	512	q8_0	q8_0	True	16	256	64	12	1024	gen1024_b256_64_r2	ok	n_gpu=16, batch=256/64, q8_0 KV, n_ctx=512, flash=1 — wall=11.615tok/s, gen=1024, t_eval=42880.0ms, threads=12
8	0.000	0	512	q8_0	q8_0	True	17	256	64	12	256	ngpu17_b256_64	crash	Failed to load model from file: models/Qwen3.5-35B-A3B-Q3_K_M.gguf
9	11.165	7700	512	q8_0	q8_0	True	16	512	64	12	256	b512_64	ok	n_gpu=16, batch=512/64, q8_0 KV, n_ctx=512, flash=1 — wall=11.165tok/s, gen=256, t_eval=22930.0ms, threads=12
10	11.367	7710	512	q8_0	q8_0	True	16	512	128	12	256	b512_128	ok	n_gpu=16, batch=512/128, q8_0 KV, n_ctx=512, flash=1 — wall=11.367tok/s, gen=256, t_eval=22520.0ms, threads=12
11	11.255	7703	512	q8_0	q8_0	True	16	256	32	12	256	b256_32	ok	n_gpu=16, batch=256/32, q8_0 KV, n_ctx=512, flash=1 — wall=11.255tok/s, gen=256, t_eval=22740.0ms, threads=12
12	10.999	7715	512	q8_0	q8_0	True	16	256	128	12	256	b256_128	ok	n_gpu=16, batch=256/128, q8_0 KV, n_ctx=512, flash=1 — wall=10.999tok/s, gen=256, t_eval=23270.0ms, threads=12
13	11.081	7703	512	q8_0	q8_0	True	16	128	32	12	256	b128_32	ok	n_gpu=16, batch=128/32, q8_0 KV, n_ctx=512, flash=1 — wall=11.081tok/s, gen=256, t_eval=23100.0ms, threads=12
14	11.099	7715	512	q8_0	q8_0	True	16	128	128	12	256	b128_128	ok	n_gpu=16, batch=128/128, q8_0 KV, n_ctx=512, flash=1 — wall=11.099tok/s, gen=256, t_eval=23070.0ms, threads=12
15	10.836	7705	512	q8_0	q8_0	True	16	384	64	12	256	b384_64	ok	n_gpu=16, batch=384/64, q8_0 KV, n_ctx=512, flash=1 — wall=10.836tok/s, gen=256, t_eval=23620.0ms, threads=12
16	10.642	7715	512	q8_0	q8_0	True	16	384	128	12	256	b384_128	ok	n_gpu=16, batch=384/128, q8_0 KV, n_ctx=512, flash=1 — wall=10.642tok/s, gen=256, t_eval=24060.0ms, threads=12
17	11.408	7705	512	q8_0	q8_0	True	16	192	64	12	256	b192_64	ok	n_gpu=16, batch=192/64, q8_0 KV, n_ctx=512, flash=1 — wall=11.408tok/s, gen=256, t_eval=22440.0ms, threads=12
18	10.790	7707	512	q8_0	q8_0	True	16	192	96	12	256	b192_96	ok	n_gpu=16, batch=192/96, q8_0 KV, n_ctx=512, flash=1 — wall=10.790tok/s, gen=256, t_eval=23730.0ms, threads=12
19	11.215	7707	512	q8_0	q8_0	True	16	256	96	12	256	b256_96	ok	n_gpu=16, batch=256/96, q8_0 KV, n_ctx=512, flash=1 — wall=11.215tok/s, gen=256, t_eval=22830.0ms, threads=12
20	10.850	7705	512	q8_0	q8_0	True	16	256	48	12	256	b256_48	ok	n_gpu=16, batch=256/48, q8_0 KV, n_ctx=512, flash=1 — wall=10.850tok/s, gen=256, t_eval=23590.0ms, threads=12
